Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Abyss,SZK Esports,Melilla Titans,13,2,10,0,"Breach,Sova,Omen,Jett,Vyse","Breach,Sova,Jett,Astra,Tejo"
Pearl,SK Nebula,GIANTX GC,5,13,4,5,"Yoru,Astra,Fade,Vyse,Tejo","Cypher,Yoru,Astra,Fade,Vyse"
Split,Karmine Corp GC,BLVKHVND,10,13,3,5,"Breach,Raze,Cypher,Omen,Skye","Yoru,Astra,Deadlock,Vyse,Tejo"
Lotus,Team Vitality,G2 Esports,9,13,3,6,"Raze,Viper,Omen,Fade,Vyse","Breach,Viper,Omen,Yoru,Tejo"
Bind,Team Vitality,G2 Esports,13,15,7,8,"Raze,Viper,Brimstone,Skye,Tejo","Breach,Brimstone,Yoru,Vyse,Tejo"
Pearl,EDward Gaming,T1,13,11,6,5,"Yoru,Astra,Fade,Vyse,Tejo","Sova,Killjoy,Yoru,Astra,Neon"
Bind,EDward Gaming,T1,6,13,5,6,"Raze,Brimstone,KAY/O,Vyse,Tejo","Raze,Brimstone,KAY/O,Fade,Vyse"
Split,EDward Gaming,T1,13,7,10,5,"Breach,Viper,Omen,Jett,Tejo","Raze,Viper,Omen,Yoru,Fade"
Abyss,FearX,Gen.G Global Academy,13,2,2,1,"Cypher,Sova,Jett,Astra,Tejo","Cypher,Sova,Jett,Yoru,Astra"
Lotus,FN Pocheon,SHERPA,10,13,4,6,"Breach,Raze,Omen,Vyse,Tejo","Breach,Viper,Omen,Yoru,Tejo"
Fracture,FN Pocheon,SHERPA,7,13,1,6,"Breach,Raze,Brimstone,Vyse,Tejo","Breach,Raze,Brimstone,Vyse,Tejo"
Pearl,FearX,Gen.G Global Academy,13,9,6,3,"Cypher,Jett,Astra,KAY/O,Tejo","Raze,Killjoy,Astra,Neon,Fade"
Pearl,SLT Seongam,T1 Academy,8,13,6,7,"Sova,Yoru,Astra,Chamber,Vyse","Killjoy,Omen,Yoru,Fade,Vyse"
Haven,DRX Prospect,Dplus Esports,8,13,4,8,"Breach,Cypher,Sova,Omen,Jett","Brimstone,Yoru,Fade,Harbor,Vyse"
Lotus,SLT Seongam,T1 Academy,10,13,4,5,"Raze,Omen,Jett,Skye,Vyse","Breach,Viper,Omen,Neon,Tejo"
Fracture,SLT Seongam,T1 Academy,13,7,6,5,"Breach,Cypher,Brimstone,Neon,Tejo","Breach,Raze,Brimstone,Chamber,Tejo"
Pearl,DRX Prospect,Dplus Esports,9,13,4,7,"Cypher,Jett,Astra,KAY/O,Tejo","Killjoy,Jett,Astra,KAY/O,Tejo"
Split,Los Grandes,Vila do Zana X,7,13,7,8,"Raze,Viper,Jett,Skye,Astra","Raze,Viper,Skye,Astra,Vyse"
Lotus,Los Grandes,Vila do Zana X,7,13,5,10,"Breach,Viper,Omen,Yoru,KAY/O","Raze,Viper,Omen,Fade,Vyse"
Bind,Stellae Gaming,F4TALITY,13,8,10,6,"Raze,Viper,Brimstone,Skye,Tejo","Cypher,Brimstone,Skye,Neon,Gekko"
Pearl,SAGAZ,PEEK,8,13,5,6,"Sova,Killjoy,Jett,Astra,KAY/O","Jett,Astra,KAY/O,Fade,Vyse"
Split,Zerance Mint,NASR Ignite,6,13,1,2,"Breach,Raze,Viper,Omen,Fade","Breach,Raze,Cypher,Astra,Tejo"
Bind,Lost Puppies,WILLYG PALACE,13,4,4,3,"Raze,Fade,Gekko,Iso,Clove","Raze,Yoru,Deadlock,Clove,Tejo"
Haven,SheshBoys,THE EXPANSION PACK,13,5,7,0,"Breach,Cypher,Omen,Jett,Yoru","Breach,Killjoy,Omen,Jett,KAY/O"
Lotus,Team awokenvl,VVX Strix,13,8,7,6,"Breach,Raze,Omen,Vyse,Tejo","Raze,Omen,Fade,Deadlock,Clove"
Haven,PURE Esports,PARABELLUM1,13,1,11,0,"Cypher,Sova,Omen,Yoru,Clove","Breach,Cypher,Sova,Omen,Jett"
Abyss,Stellae Gaming,F4TALITY,13,9,6,3,"Cypher,Sova,Omen,Yoru,Astra","Cypher,Sova,Jett,Astra,Tejo"
Abyss,SAGAZ,PEEK,1,13,0,11,"Sova,Yoru,Astra,KAY/O,Vyse","Cypher,Sova,Jett,Astra,KAY/O"
Haven,Zerance Mint,NASR Ignite,6,13,1,7,"Breach,Cypher,Sova,Omen,Jett","Breach,Sova,Killjoy,Omen,Jett"
Lotus,PURE Esports,Team awokenvl,7,13,3,8,"Breach,Omen,Neon,Fade,Vyse","Breach,Raze,Omen,Vyse,Tejo"
Bind,WILLYG PALACE,THE EXPANSION PACK,13,7,7,2,"Raze,Yoru,Deadlock,Clove,Tejo","Raze,Viper,Brimstone,Jett,Skye"
Lotus,PARABELLUM1,VVX Strix,5,13,1,8,"Breach,Raze,Omen,Fade,Vyse","Raze,Omen,Fade,Deadlock,Clove"
Bind,SheshBoys,Lost Puppies,10,13,8,9,"Breach,Brimstone,Yoru,Vyse,Tejo","Raze,Fade,Gekko,Iso,Clove"
Fracture,Zerance Mint,NASR Ignite,13,6,6,5,"Breach,Raze,Killjoy,Brimstone,Tejo","Breach,Killjoy,Brimstone,KAY/O,Neon"
Lotus,BLVKHVND,ALTERNATE aTTaX Ruby,13,10,6,5,"Yoru,Astra,Deadlock,Vyse,Tejo","Breach,Cypher,Omen,Neon,Fade"
Pearl,GIANTX GC,G2 Gozen,13,7,4,3,"Cypher,Yoru,Astra,Fade,Vyse","Jett,Astra,KAY/O,Fade,Vyse"
Haven,BLVKHVND,ALTERNATE aTTaX Ruby,13,9,7,6,"Yoru,Astra,Deadlock,Vyse,Tejo","Breach,Cypher,Sova,Omen,Neon"
Split,GIANTX GC,G2 Gozen,13,11,6,5,"Breach,Raze,Cypher,Omen,Tejo","Breach,Raze,Cypher,Astra,Tejo"
Pearl,SK Nebula,HEROIC Valkyries,13,1,11,0,"Yoru,Astra,Fade,Vyse,Tejo","Yoru,Astra,KAY/O,Vyse,Tejo"
Bind,SK Nebula,HEROIC Valkyries,13,1,11,0,"Raze,Viper,Brimstone,Skye,Yoru","Raze,Viper,Skye,Astra,Gekko"
Bind,GIANTX GC,G2 Gozen,10,13,8,9,"Raze,Viper,Brimstone,Skye,Tejo","Breach,Raze,Viper,Brimstone,Tejo"
Lotus,SHERPA,Gen.G Global Academy,4,13,1,9,"Breach,Viper,Omen,Yoru,Tejo","Raze,Cypher,Omen,Neon,Fade"
Split,SHERPA,Gen.G Global Academy,9,13,6,9,"Breach,Raze,Cypher,Omen,Tejo","Raze,Cypher,Omen,Jett,Skye"
Lotus,FearX,SLT Seongam,13,11,7,6,"Raze,Cypher,Astra,Fade,Tejo","Raze,Omen,Jett,Skye,Vyse"
Fracture,FearX,SLT Seongam,14,12,7,6,"Raze,Cypher,Skye,Astra,Tejo","Breach,Cypher,Brimstone,Neon,Tejo"
Haven,FearX,SLT Seongam,9,13,3,6,"Cypher,Sova,Jett,Astra,Tejo","Cypher,Sova,Omen,Yoru,Iso"
Fracture,Corinthians Esports,RED Canids,13,11,4,3,"Breach,Raze,Brimstone,Vyse,Tejo","Breach,Brimstone,Neon,Vyse,Tejo"
Haven,Corinthians Esports,RED Canids,3,13,0,9,"Breach,Cypher,Jett,Astra,Tejo","Breach,Omen,Jett,Vyse,Tejo"
Split,Corinthians Esports,RED Canids,13,1,1,0,"Viper,Omen,Yoru,Vyse,Tejo","Breach,Viper,Omen,Jett,Tejo"
Haven,TBK Esports,MIBR Academy,14,12,9,8,"Breach,Cypher,Sova,Omen,Jett","Breach,Cypher,Sova,Omen,Jett"
Haven,Zerance Mint,ALTERNATE aTTaX Ruby,13,11,6,5,"Breach,Cypher,Sova,Omen,Jett","Breach,Cypher,Sova,Omen,Neon"
Split,Agropesca Jacare,Grêmio Esports,11,13,6,7,"Raze,Cypher,Skye,Astra,Deadlock","Breach,Raze,Cypher,Omen,Tejo"
Lotus,TBK Esports,MIBR Academy,15,13,8,7,"Raze,Viper,Omen,Fade,Vyse","Breach,Raze,Omen,Vyse,Tejo"
Lotus,Zerance Mint,ALTERNATE aTTaX Ruby,9,13,5,8,"Breach,Raze,Omen,Vyse,Tejo","Breach,Cypher,Omen,Neon,Fade"
Haven,Agropesca Jacare,Grêmio Esports,7,13,4,9,"Breach,Cypher,Omen,Yoru,Tejo","Breach,Astra,Neon,Vyse,Tejo"
Lotus,SZK Esports,Fractious Esports,13,11,8,7,"Breach,Raze,Omen,Fade,Vyse","Omen,Neon,Deadlock,Vyse,Tejo"
Abyss,Zerance Mint,ALTERNATE aTTaX Ruby,15,13,6,5,"Breach,Jett,Astra,Vyse,Tejo","Cypher,Sova,Jett,Astra,KAY/O"
Fracture,Lunar GC,G2 Gozen,8,13,2,6,"Breach,Raze,Cypher,Brimstone,Tejo","Breach,Raze,Brimstone,Skye,Chamber"
Haven,Oxygen Gaming,Dimonis eSports,11,13,6,7,"Breach,Sova,Killjoy,Omen,Jett","Breach,Cypher,Sova,Omen,Jett"
Bind,SK Nebula,Karmine Corp GC,5,13,1,8,"Raze,Viper,Brimstone,Skye,Yoru","Viper,Brimstone,Yoru,Fade,Vyse"
