Event Name,Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 1 Attacking Losses,Team 1 Defending Wins,Team 1 Defending Losses,Team 2 Attacking Wins,Team 2 Attacking Losses,Team 2 Defending Wins,Team 2 Defending Losses,Date,Team 1 Agents,Team 2 Agents
VALORANT Champions 2023 - Playoffs,Lotus,LOUD,Paper Rex,13,15,5,9,8,6,6,8,9,5,2023-08-19T00:00:00.000Z,"Raze,Killjoy,Viper,Omen,Fade","Raze,Omen,Jett,Skye,Astra"
VALORANT Champions 2023 - Playoffs,Haven,Bilibili Gaming,EDward Gaming,10,13,6,6,4,7,7,4,6,6,2023-08-18T00:00:00.000Z,"Breach,Sova,Killjoy,Omen,Jett","Breach,Cypher,Sova,Omen,Jett"
VALORANT Champions 2023 - Playoffs,Split,Bilibili Gaming,EDward Gaming,15,13,5,9,10,4,4,10,9,5,2023-08-18T00:00:00.000Z,"Raze,Cypher,Viper,Omen,Skye","Raze,Viper,Jett,Skye,Astra"
VALORANT Champions 2023 - Playoffs,Bind,Bilibili Gaming,EDward Gaming,4,13,2,3,2,10,10,2,3,2,2023-08-18T00:00:00.000Z,"Raze,Cypher,Viper,Brimstone,Skye","Raze,Viper,Brimstone,Skye,Chamber"
VALORANT Champions 2023 - Playoffs,Haven,FNATIC,FUT Esports,13,9,5,7,8,2,2,8,7,5,2023-08-18T00:00:00.000Z,"Breach,Sova,Killjoy,Jett,Astra","Breach,Killjoy,Omen,Jett,Gekko"
VALORANT Champions 2023 - Playoffs,Split,FNATIC,FUT Esports,13,5,10,2,3,3,3,3,2,10,2023-08-18T00:00:00.000Z,"Breach,Raze,Cypher,Omen,Skye","Viper,Omen,Jett,Skye,KAY/O"
VALORANT Champions 2023 - Playoffs,Pearl,Evil Geniuses,EDward Gaming,13,5,5,1,8,4,4,8,1,5,2023-08-17T00:00:00.000Z,"Sova,Killjoy,Jett,Yoru,Astra","Killjoy,Viper,Omen,Jett,Skye"
VALORANT Champions 2023 - Playoffs,Ascent,Evil Geniuses,EDward Gaming,13,5,5,1,8,4,4,8,1,5,2023-08-17T00:00:00.000Z,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
VALORANT Champions 2023 - Playoffs,Split,Evil Geniuses,EDward Gaming,12,14,8,5,4,9,9,4,5,8,2023-08-17T00:00:00.000Z,"Raze,Viper,Skye,Astra,Chamber","Raze,Viper,Jett,Skye,Astra"
VALORANT Champions 2023 - Playoffs,Haven,DRX,Bilibili Gaming,13,9,7,5,6,4,4,6,5,7,2023-08-17T00:00:00.000Z,"Killjoy,Viper,Omen,Jett,Skye","Breach,Sova,Killjoy,Omen,Jett"
VALORANT Champions 2023 - Playoffs,Lotus,DRX,Bilibili Gaming,13,10,2,10,11,0,0,11,10,2,2023-08-17T00:00:00.000Z,"Raze,Killjoy,Viper,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
VALORANT Champions 2023 - Playoffs,Pearl,Paper Rex,FUT Esports,13,4,11,1,2,3,3,2,1,11,2023-08-16T00:00:00.000Z,"Killjoy,Phoenix,Jett,Skye,Astra","Killjoy,Viper,Brimstone,Jett,KAY/O"
VALORANT Champions 2023 - Playoffs,Ascent,Paper Rex,FUT Esports,13,10,4,8,9,2,2,9,8,4,2023-08-16T00:00:00.000Z,"Raze,Viper,Reyna,Skye,Harbor","Sova,Killjoy,Omen,Jett,KAY/O"
VALORANT Champions 2023 - Playoffs,Lotus,FNATIC,LOUD,6,13,2,5,4,8,8,4,5,2,2023-08-16T00:00:00.000Z,"Raze,Killjoy,Viper,Astra,Fade","Raze,Killjoy,Viper,Omen,Fade"
VALORANT Champions 2023 - Playoffs,Ascent,FNATIC,LOUD,11,13,5,7,6,6,6,6,7,5,2023-08-16T00:00:00.000Z,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
VALORANT Champions 2023 - Group Stage,Ascent,Bilibili Gaming,NRG Esports,13,5,8,4,5,1,1,5,4,8,2023-08-13T00:00:00.000Z,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
VALORANT Champions 2023 - Group Stage,Bind,Bilibili Gaming,NRG Esports,13,10,8,3,5,7,7,5,3,8,2023-08-13T00:00:00.000Z,"Raze,Cypher,Viper,Brimstone,Skye","Raze,Viper,Brimstone,Skye,Chamber"
VALORANT Champions 2023 - Group Stage,Fracture,EDward Gaming,Giants Gaming,13,7,5,3,8,4,4,8,3,5,2023-08-13T00:00:00.000Z,"Breach,Killjoy,Brimstone,Jett,Skye","Breach,Raze,Sova,Killjoy,Brimstone"
