Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Pearl,G2 Esports,T1,14,16,4,5,"Sova,Yoru,Astra,Chamber,Vyse","Sova,Killjoy,Yoru,Astra,Neon"
Split,G2 Esports,T1,13,15,4,5,"Breach,Viper,Omen,Yoru,Tejo","Raze,Viper,Omen,Yoru,Fade"
Abyss,G2 Esports,T1,13,11,9,8,"Breach,Sova,Yoru,Astra,Chamber","Reyna,Omen,Jett,Fade,Tejo"
Haven,G2 Esports,T1,9,13,6,7,"Breach,Yoru,Astra,Vyse,Tejo","Cypher,Sova,Omen,Yoru,Iso"
Lotus,G2 Esports,T1,13,5,8,1,"Breach,Viper,Omen,Yoru,Tejo","Raze,Cypher,Sova,Omen,Iso"
Split,EDward Gaming,T1,5,13,5,6,"Breach,Viper,Omen,Jett,Tejo","Raze,Viper,Omen,Yoru,Fade"
Fracture,EDward Gaming,T1,14,12,8,7,"Breach,Cypher,Brimstone,Neon,Tejo","Breach,Raze,Brimstone,Vyse,Tejo"
Haven,EDward Gaming,T1,10,13,8,9,"Breach,Cypher,Omen,Jett,Tejo","Cypher,Sova,Omen,Yoru,Iso"
Bind,EDward Gaming,T1,4,13,3,4,"Raze,Brimstone,KAY/O,Vyse,Tejo","Raze,Brimstone,KAY/O,Fade,Vyse"
Split,T1,Team Vitality,13,5,4,3,"Raze,Viper,Omen,Yoru,Fade","Breach,Raze,Viper,Omen,Fade"
Haven,T1,Team Vitality,13,4,5,4,"Cypher,Sova,Omen,Yoru,Iso","Cypher,Sova,Omen,Jett,Yoru"
Lotus,T1,Team Vitality,12,14,8,9,"Raze,Cypher,Sova,Omen,Iso","Raze,Viper,Omen,Fade,Vyse"
Split,EDward Gaming,G2 Esports,7,13,4,5,"Breach,Viper,Omen,Jett,Tejo","Breach,Viper,Omen,Yoru,Tejo"
Lotus,EDward Gaming,G2 Esports,8,13,5,6,"Breach,Omen,Neon,Fade,Clove","Breach,Viper,Omen,Yoru,Tejo"
Lotus,Team Vitality,G2 Esports,9,13,3,6,"Raze,Viper,Omen,Fade,Vyse","Breach,Viper,Omen,Yoru,Tejo"
Bind,Team Vitality,G2 Esports,13,15,7,8,"Raze,Viper,Brimstone,Skye,Tejo","Breach,Brimstone,Yoru,Vyse,Tejo"
Pearl,EDward Gaming,T1,13,11,6,5,"Yoru,Astra,Fade,Vyse,Tejo","Sova,Killjoy,Yoru,Astra,Neon"
Bind,EDward Gaming,T1,6,13,5,6,"Raze,Brimstone,KAY/O,Vyse,Tejo","Raze,Brimstone,KAY/O,Fade,Vyse"
Split,EDward Gaming,T1,13,7,10,5,"Breach,Viper,Omen,Jett,Tejo","Raze,Viper,Omen,Yoru,Fade"
Lotus,G2 Esports,Team Liquid,13,7,6,1,"Breach,Viper,Omen,Yoru,Tejo","Breach,Cypher,Omen,Neon,Tejo"
Haven,G2 Esports,Team Liquid,13,5,5,4,"Breach,Yoru,Astra,Vyse,Tejo","Breach,Cypher,Omen,Jett,Tejo"
Pearl,T1,DRX,13,4,5,4,"Sova,Killjoy,Yoru,Astra,Neon","Yoru,Astra,Fade,Vyse,Tejo"
Fracture,T1,DRX,13,11,8,7,"Breach,Raze,Brimstone,Vyse,Tejo","Breach,Cypher,Brimstone,Yoru,Tejo"
Bind,Team Liquid,Sentinels,13,1,2,1,"Raze,Viper,Brimstone,Skye,Gekko","Raze,Viper,Brimstone,Skye,Tejo"
Abyss,Team Liquid,Sentinels,16,14,6,5,"Cypher,Sova,Omen,Jett,KAY/O","Omen,Jett,Astra,KAY/O,Tejo"
Lotus,Team Liquid,Sentinels,7,13,5,6,"Breach,Cypher,Omen,Yoru,Tejo","Raze,Viper,Omen,Fade,Vyse"
Haven,T1,Trace Esports,13,8,7,6,"Cypher,Sova,Omen,Yoru,Iso","Breach,Cypher,Sova,Omen,Jett"
Lotus,T1,Trace Esports,13,3,4,3,"Raze,Cypher,Sova,Omen,Iso","Raze,Viper,Omen,Fade,Vyse"
Fracture,EDward Gaming,G2 Esports,13,4,2,1,"Breach,Cypher,Brimstone,Neon,Tejo","Breach,Raze,Brimstone,Vyse,Tejo"
Bind,EDward Gaming,G2 Esports,13,8,5,4,"Raze,Brimstone,KAY/O,Vyse,Tejo","Raze,Viper,Brimstone,Skye,Tejo"
Pearl,EDward Gaming,G2 Esports,16,18,8,9,"Yoru,Astra,Fade,Vyse,Tejo","Sova,Yoru,Astra,Chamber,Vyse"
Split,DRX,Team Vitality,11,13,6,7,"Breach,Cypher,Omen,Yoru,Tejo","Breach,Raze,Viper,Omen,Fade"
Abyss,DRX,Team Vitality,13,11,7,6,"Cypher,Sova,Omen,Yoru,Tejo","Breach,Sova,Jett,Astra,Tejo"
Bind,DRX,Team Vitality,8,13,4,5,"Breach,Cypher,Brimstone,Yoru,Tejo","Raze,Viper,Brimstone,Skye,Tejo"
Abyss,G2 Esports,Trace Esports,13,3,4,3,"Breach,Sova,Yoru,Astra,Chamber","Sova,Omen,Jett,Astra,KAY/O"
Lotus,G2 Esports,Trace Esports,13,8,7,3,"Breach,Viper,Omen,Yoru,Tejo","Raze,Viper,Omen,Fade,Vyse"
Bind,Team Vitality,T1,13,9,7,4,"Raze,Viper,Brimstone,Skye,Tejo","Raze,Brimstone,KAY/O,Fade,Vyse"
Fracture,Team Vitality,T1,13,10,5,3,"Breach,Raze,Brimstone,Vyse,Tejo","Breach,Raze,Brimstone,Vyse,Tejo"
Haven,DRX,Sentinels,13,10,7,6,"Breach,Cypher,Omen,Yoru,Tejo","Breach,Jett,Astra,Vyse,Tejo"
Lotus,DRX,Sentinels,13,3,9,0,"Breach,Cypher,Omen,Yoru,Tejo","Raze,Viper,Omen,Fade,Vyse"
Pearl,EDward Gaming,Team Liquid,13,6,7,1,"Yoru,Astra,Fade,Vyse,Tejo","Sova,Yoru,Astra,Chamber,Vyse"
Split,EDward Gaming,Team Liquid,18,16,10,9,"Breach,Viper,Omen,Jett,Tejo","Raze,Viper,Yoru,Astra,Fade"
Fracture,Team Vitality,Team Liquid,13,8,5,4,"Breach,Raze,Brimstone,Vyse,Tejo","Breach,Raze,Cypher,Brimstone,Tejo"
Bind,Team Vitality,Team Liquid,13,7,7,2,"Raze,Viper,Brimstone,Skye,Tejo","Raze,Viper,Brimstone,Skye,Gekko"
Lotus,Team Vitality,Team Liquid,13,6,10,4,"Raze,Viper,Omen,Fade,Vyse","Raze,Viper,Reyna,Fade,Clove"
Haven,Team Vitality,Team Liquid,7,13,3,4,"Cypher,Sova,Omen,Yoru,Iso","Breach,Cypher,Omen,Jett,Tejo"
Split,Team Vitality,Team Liquid,10,13,7,9,"Breach,Raze,Viper,Omen,Fade","Raze,Viper,Yoru,Astra,Fade"
Split,DRX,T1,13,11,7,6,"Breach,Raze,Cypher,Omen,Tejo","Raze,Viper,Omen,Skye,Chamber"
Bind,DRX,T1,12,14,7,8,"Raze,Viper,Brimstone,KAY/O,Tejo","Raze,Brimstone,KAY/O,Gekko,Vyse"
Fracture,DRX,T1,13,9,5,4,"Breach,Raze,Brimstone,Vyse,Tejo","Breach,Raze,Cypher,Brimstone,Tejo"
Lotus,DRX,T1,6,13,5,6,"Raze,Viper,Omen,Fade,Tejo","Raze,Cypher,Sova,Omen,Iso"
Abyss,DRX,T1,13,3,3,2,"Cypher,Sova,Jett,Astra,Tejo","Breach,Cypher,Sova,Yoru,Astra"
Haven,G2 Esports,Sentinels,13,10,4,3,"Breach,Yoru,Astra,Vyse,Tejo","Cypher,Sova,Omen,Yoru,Iso"
Fracture,G2 Esports,Sentinels,13,5,8,1,"Breach,Raze,Brimstone,Vyse,Tejo","Breach,Brimstone,Yoru,Vyse,Tejo"
Abyss,G2 Esports,Sentinels,9,13,4,7,"Breach,Sova,Yoru,Astra,Chamber","Omen,Jett,Astra,KAY/O,Tejo"
Pearl,G2 Esports,Sentinels,13,8,7,6,"Sova,Yoru,Astra,Chamber,Vyse","Yoru,Astra,Fade,Vyse,Tejo"
Split,G2 Esports,Sentinels,4,13,3,4,"Breach,Viper,Yoru,Astra,Tejo","Breach,Viper,Omen,Yoru,Tejo"
Fracture,Team Heretics,Team Liquid,7,13,3,8,"Raze,Cypher,Skye,Astra,Tejo","Breach,Raze,Cypher,Brimstone,Tejo"
Abyss,Team Heretics,Team Liquid,4,13,4,5,"Sova,Yoru,Astra,Chamber,Tejo","Cypher,Sova,Omen,Jett,KAY/O"
Lotus,Team Heretics,Team Liquid,4,13,3,4,"Raze,Killjoy,Omen,Astra,Fade","Raze,Viper,Reyna,Fade,Clove"
Bind,T1,Gen.G Esports,13,10,9,7,"Raze,Brimstone,KAY/O,Gekko,Vyse","Raze,Viper,Brimstone,Fade,Gekko"
Split,T1,Gen.G Esports,15,17,5,6,"Raze,Viper,Omen,Yoru,Fade","Breach,Raze,Cypher,Astra,Tejo"
Haven,T1,Gen.G Esports,5,13,5,6,"Cypher,Sova,Omen,Yoru,Iso","Sova,Killjoy,Viper,Omen,Neon"
Lotus,T1,Gen.G Esports,13,8,6,2,"Raze,Cypher,Sova,Omen,Iso","Raze,Killjoy,Viper,Omen,Fade"
Pearl,T1,Gen.G Esports,13,8,8,4,"Sova,Killjoy,Yoru,Astra,Neon","Sova,Killjoy,Jett,Astra,KAY/O"
Split,Sentinels,MIBR,13,7,9,4,"Breach,Viper,Omen,Yoru,Tejo","Raze,Viper,Jett,Skye,Astra"
Pearl,Sentinels,MIBR,19,21,10,11,"Yoru,Astra,Fade,Vyse,Tejo","Sova,Killjoy,Jett,Astra,KAY/O"
