Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 1 Attacking Losses,Team 2 Attacking Wins,Team 2 Attacking Losses,Team 1 Agents,Team 2 Agents
Abyss,Leviatán,Team Heretics,13,9,5,7,2,8,"Cypher,Sova,Omen,Jett,Harbor","Cypher,Sova,Jett,Astra,Gekko"
Sunset,Leviatán,Team Heretics,13,15,9,5,10,4,"Breach,Cypher,Sova,Omen,Neon","Raze,Cypher,Sova,Omen,KAY/O"
Icebox,Leviatán,Team Heretics,7,13,5,7,6,2,"Sova,Killjoy,Viper,Jett,Harbor","Sova,Killjoy,Viper,Neon,Gekko"
Ascent,Made in O'Block,OC Eagles,3,13,2,10,3,1,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Split,Predator X Gaming,Spate Esports,13,15,5,9,6,8,"Breach,Raze,Cypher,Skye,Astra","Raze,Cypher,Omen,Jett,Skye"
Split,Bobo is Hobo,Boomer Squad,9,13,2,8,5,7,"Raze,Cypher,Viper,Skye,Astra","Raze,Cypher,Viper,Omen,Skye"
Split,whats a pretzel,kellogs cereal,13,5,8,4,1,5,"Raze,Cypher,Viper,Omen,Skye","Raze,Cypher,Viper,Omen,Skye"
Abyss,Be Like Matt,A Good Team,13,11,7,5,6,6,"Cypher,Sova,Omen,Yoru,Deadlock","Cypher,Sova,Jett,Astra,Gekko"
Ascent,Nearest Airport,OREGON CRACK,13,6,9,3,3,4,"Cypher,Sova,Omen,Yoru,Deadlock","Sova,Killjoy,Omen,Jett,Deadlock"
Split,hunter505,Ivy League Dropouts,16,14,4,11,3,12,"Raze,Cypher,Viper,Skye,Astra","Raze,Cypher,Viper,Omen,Skye"
Haven,Predator X Gaming,Spate Esports,11,13,7,5,8,4,"Breach,Cypher,Sova,Omen,Jett","Breach,Cypher,Sova,Neon,Clove"
Ascent,Bobo is Hobo,Boomer Squad,8,13,3,6,7,5,"Cypher,Sova,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Haven,Made in O'Block,OC Eagles,15,13,9,5,8,6,"Breach,Sova,Killjoy,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Bind,ABG luvrs,Event Horizon,3,13,1,11,2,2,"Raze,Viper,Brimstone,Fade,Gekko","Raze,Viper,Brimstone,Fade,Gekko"
Bind,the gnomes,Dexterity Gaming,7,13,3,5,8,4,"Raze,Viper,Brimstone,Skye,Gekko","Raze,Cypher,Viper,Brimstone,Skye"
Ascent,add3r's kittens, Unjustified,14,12,10,3,9,4,"Raze,Killjoy,Sage,Fade,Clove","Sova,Killjoy,Omen,Jett,KAY/O"
Abyss,whats a pretzel,kellogs cereal,8,13,4,8,5,4,"Cypher,Sova,Omen,Jett,Harbor","Cypher,Sova,Reyna,Jett,Astra"
Pearl,1KRR and Racoone,Vovin,13,6,8,4,2,5,"Viper,Jett,Astra,Fade,Deadlock","Viper,Jett,Skye,Yoru,Harbor"
Bind,Nearest Airport,OREGON CRACK,13,6,10,2,4,3,"Raze,Cypher,Omen,Yoru,Deadlock","Raze,Cypher,Brimstone,Fade,Iso"
Pearl,Be Like Matt,A Good Team,11,13,5,7,6,6,"Killjoy,Viper,Jett,Skye,Harbor","Cypher,Sova,Jett,Astra,Gekko"
Sunset,Predator X Gaming,Spate Esports,13,5,9,3,2,4,"Breach,Raze,Cypher,Omen,Fade","Breach,Raze,Phoenix,Omen,Deadlock"
Haven,hunter505,Ivy League Dropouts,13,7,5,3,4,8,"Breach,Sova,Killjoy,Omen,Neon","Sova,Killjoy,Yoru,Iso,Clove"
Haven,ABG luvrs,Event Horizon,5,13,3,3,10,2,"Cypher,Sova,Omen,Yoru,Iso","Breach,Sova,Killjoy,Omen,Jett"
Haven,Bobo is Hobo,Boomer Squad,13,9,9,3,6,4,"Breach,Cypher,Sova,Jett,Astra","Cypher,Sova,Omen,Yoru,Deadlock"
