Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Icebox,Team Liquid,MIBR,13,6,6,5,"Sova,Viper,Jett,Chamber,Harbor","Sova,Killjoy,Viper,Jett,Harbor"
Lotus,Team Heretics,Wolves Esports,9,13,4,7,"Raze,Killjoy,Viper,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
Pearl,Team Heretics,Wolves Esports,10,13,4,5,"Cypher,Sova,Jett,Yoru,Astra","Yoru,Astra,Chamber,Fade,Vyse"
Icebox,Paper Rex,Gen.G,3,13,3,4,"Sova,Killjoy,Viper,Omen,Jett","Sova,Killjoy,Viper,Omen,Jett"
Ascent,Paper Rex,Gen.G,11,13,7,8,"Raze,Viper,Omen,Fade,Gekko","Sova,Killjoy,Omen,Jett,KAY/O"
Lotus,Bilibili Gaming,Sentinels,9,13,7,8,"Raze,Viper,Omen,Fade,Vyse","Raze,Viper,Omen,Fade,Vyse"
Sunset,Bilibili Gaming,Sentinels,5,13,5,6,"Cypher,Sova,Omen,KAY/O,Neon","Breach,Cypher,Omen,Neon,Fade"
Icebox,Bilibili Gaming,Sentinels,13,9,8,5,"Sova,Killjoy,Viper,Jett,Harbor","Killjoy,Viper,Omen,KAY/O,Gekko"
Haven,Gen.G,MIBR,13,1,2,1,"Sova,Killjoy,Viper,Omen,Neon","Breach,Cypher,Sova,Omen,Jett"
Sunset,Gen.G,MIBR,13,5,4,3,"Sova,Viper,Omen,Neon,Deadlock","Breach,Cypher,Sova,Omen,Neon"
Lotus,Sentinels,Wolves Esports,13,8,4,3,"Raze,Viper,Omen,Fade,Vyse","Raze,Killjoy,Viper,Omen,Fade"
Split,Sentinels,Wolves Esports,13,11,9,8,"Breach,Viper,Omen,Skye,Yoru","Raze,Cypher,Viper,Omen,Fade"
Sunset,Bilibili Gaming,Team Liquid,13,10,7,5,"Cypher,Sova,Omen,KAY/O,Neon","Cypher,Sova,Omen,Neon,Iso"
Haven,Bilibili Gaming,Team Liquid,14,16,9,10,"Breach,Cypher,Sova,Omen,Neon","Sova,Killjoy,Phoenix,Omen,Neon"
Icebox,Bilibili Gaming,Team Liquid,13,10,8,7,"Sova,Killjoy,Viper,Jett,Harbor","Omen,KAY/O,Harbor,Gekko,Clove"
Icebox,Team Heretics,Paper Rex,9,13,7,8,"Sova,Killjoy,Viper,Neon,Gekko","Sova,Killjoy,Viper,Omen,Jett"
Pearl,Team Heretics,Paper Rex,1,13,0,11,"Breach,Killjoy,Yoru,Astra,Fade","Raze,Yoru,Astra,Fade,Vyse"
