Event Name,Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Champions Tour 2025: Masters Bangkok - Playoffs,Pearl,G2 Esports,T1,14,16,4,5,"Sova,Yoru,Astra,Chamber,Vyse","Sova,Killjoy,Yoru,Astra,Neon"
Champions Tour 2025: Masters Bangkok - Playoffs,Split,G2 Esports,T1,13,15,4,5,"Breach,Viper,Omen,Yoru,Tejo","Raze,Viper,Omen,Yoru,Fade"
Champions Tour 2025: Masters Bangkok - Playoffs,Abyss,G2 Esports,T1,13,11,9,8,"Breach,Sova,Yoru,Astra,Chamber","Reyna,Omen,Jett,Fade,Tejo"
Champions Tour 2025: Masters Bangkok - Playoffs,Haven,G2 Esports,T1,9,13,6,7,"Breach,Yoru,Astra,Vyse,Tejo","Cypher,Sova,Omen,Yoru,Iso"
Champions Tour 2025: Masters Bangkok - Playoffs,Lotus,G2 Esports,T1,13,5,8,1,"Breach,Viper,Omen,Yoru,Tejo","Raze,Cypher,Sova,Omen,Iso"
Champions Tour 2025: Masters Bangkok - Playoffs,Split,EDward Gaming,T1,5,13,5,6,"Breach,Viper,Omen,Jett,Tejo","Raze,Viper,Omen,Yoru,Fade"
Champions Tour 2025: Masters Bangkok - Playoffs,Fracture,EDward Gaming,T1,14,12,8,7,"Breach,Cypher,Brimstone,Neon,Tejo","Breach,Raze,Brimstone,Vyse,Tejo"
Champions Tour 2025: Masters Bangkok - Playoffs,Haven,EDward Gaming,T1,10,13,8,9,"Breach,Cypher,Omen,Jett,Tejo","Cypher,Sova,Omen,Yoru,Iso"
Champions Tour 2025: Masters Bangkok - Playoffs,Bind,EDward Gaming,T1,4,13,3,4,"Raze,Brimstone,KAY/O,Vyse,Tejo","Raze,Brimstone,KAY/O,Fade,Vyse"
Champions Tour 2025: Masters Bangkok - Playoffs,Split,T1,Team Vitality,13,5,4,3,"Raze,Viper,Omen,Yoru,Fade","Breach,Raze,Viper,Omen,Fade"
Champions Tour 2025: Masters Bangkok - Playoffs,Haven,T1,Team Vitality,13,4,5,4,"Cypher,Sova,Omen,Yoru,Iso","Cypher,Sova,Omen,Jett,Yoru"
Champions Tour 2025: Masters Bangkok - Playoffs,Lotus,T1,Team Vitality,12,14,8,9,"Raze,Cypher,Sova,Omen,Iso","Raze,Viper,Omen,Fade,Vyse"
Champions Tour 2025: Masters Bangkok - Playoffs,Split,EDward Gaming,G2 Esports,7,13,4,5,"Breach,Viper,Omen,Jett,Tejo","Breach,Viper,Omen,Yoru,Tejo"
