Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Ascent,Gen.G Esports,DRX,13,8,8,4,"Sova,Killjoy,Omen,Jett,KAY/O","Cypher,Viper,Omen,Jett,KAY/O"
Sunset,Gen.G Esports,DRX,13,11,9,8,"Cypher,Sova,Omen,Jett,KAY/O","Breach,Raze,Cypher,Omen,Gekko"
Bind,Gen.G Esports,DRX,8,13,2,6,"Raze,Cypher,Viper,Brimstone,Skye","Raze,Cypher,Viper,Brimstone,KAY/O"
Sunset,T1,Paper Rex,5,13,2,3,"Raze,Cypher,Omen,KAY/O,Gekko","Breach,Raze,Sage,Omen,Gekko"
Lotus,T1,Paper Rex,3,13,2,11,"Raze,Viper,Omen,Chamber,Fade","Breach,Raze,Omen,Jett,Skye"
Lotus,KRÜ Esports,Leviatán,10,13,6,7,"Raze,Killjoy,Viper,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
Breeze,KRÜ Esports,Leviatán,14,12,5,4,"Cypher,Sova,Viper,Jett,KAY/O","Cypher,Sova,Viper,Jett,KAY/O"
Ascent,KRÜ Esports,Leviatán,4,13,3,4,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Bind,NRG Esports,100 Thieves,7,13,4,5,"Raze,Viper,Brimstone,Skye,Gekko","Raze,Viper,Brimstone,Fade,Gekko"
Split,NRG Esports,100 Thieves,8,13,7,8,"Raze,Viper,Omen,Jett,Skye","Raze,Viper,Astra,Fade,Gekko"
Bind,DRX,Paper Rex,6,13,2,8,"Raze,Cypher,Viper,Brimstone,KAY/O","Raze,Brimstone,Skye,Harbor,Gekko"
Ascent,DRX,Paper Rex,13,10,5,3,"Cypher,Viper,Omen,Jett,KAY/O","Sova,Sage,Omen,Jett,KAY/O"
Lotus,DRX,Paper Rex,6,13,4,5,"Raze,Killjoy,Viper,Omen,Fade","Breach,Raze,Omen,Jett,Skye"
Breeze,Gen.G Esports,T1,7,13,3,8,"Sova,Viper,Jett,Yoru,Astra","Sova,Viper,Jett,Yoru,Harbor"
Sunset,Gen.G Esports,T1,13,8,7,6,"Cypher,Sova,Omen,Jett,KAY/O","Raze,Cypher,Omen,KAY/O,Gekko"
Ascent,Gen.G Esports,T1,9,13,3,4,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Icebox,Sentinels,FURIA,13,9,5,4,"Killjoy,Viper,Jett,KAY/O,Gekko","Sova,Killjoy,Viper,Reyna,Gekko"
Split,Sentinels,FURIA,13,5,5,4,"Raze,Cypher,Viper,Omen,Skye","Raze,Viper,Omen,Jett,Skye"
Icebox,BBL Esports,FUT Esports,6,13,3,9,"Sova,Killjoy,Viper,Sage,Omen","Sova,Killjoy,Viper,Jett,KAY/O"
Bind,BBL Esports,FUT Esports,9,13,4,5,"Breach,Raze,Viper,Brimstone,Skye","Raze,Viper,Omen,KAY/O,Gekko"
Icebox,Team Liquid,Gentle Mates,13,2,10,0,"Sova,Viper,Sage,Reyna,Chamber","Killjoy,Viper,Sage,KAY/O,Gekko"
Lotus,Team Liquid,Gentle Mates,13,4,8,0,"Breach,Raze,Cypher,Sova,Omen","Breach,Raze,Cypher,Sage,Omen"
Sunset,Paper Rex,TALON,13,9,3,2,"Breach,Raze,Sage,Omen,Gekko","Cypher,Sova,Omen,KAY/O,Neon"
Bind,Paper Rex,TALON,7,13,4,9,"Raze,Brimstone,Skye,Harbor,Gekko","Raze,Viper,Skye,Harbor,Gekko"
Lotus,Paper Rex,TALON,13,0,12,0,"Breach,Raze,Omen,Jett,Skye","Raze,Killjoy,Viper,Omen,Fade"
Sunset,T1,Team Secret,13,11,3,2,"Raze,Cypher,Omen,KAY/O,Gekko","Breach,Raze,Cypher,Sova,Omen"
Lotus,T1,Team Secret,13,7,6,5,"Raze,Viper,Omen,Chamber,Fade","Raze,Killjoy,Viper,Omen,Fade"
Bind,Natus Vincere,FNATIC,13,3,4,3,"Raze,Cypher,Viper,Brimstone,KAY/O","Raze,Viper,Brimstone,Skye,Gekko"
Ascent,Natus Vincere,FNATIC,13,8,9,5,"Cypher,Sova,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Breeze,Natus Vincere,FNATIC,6,13,5,6,"Cypher,Sova,Jett,Yoru,Astra","Cypher,Sova,Viper,Yoru,KAY/O"
Icebox,Team Vitality,KOI,4,13,3,4,"Raze,Killjoy,Viper,KAY/O,Gekko","Killjoy,Viper,Jett,KAY/O,Gekko"
Breeze,Team Vitality,KOI,13,7,6,1,"Cypher,Sova,Viper,Yoru,Astra","Cypher,Sova,Viper,Jett,Yoru"
Split,Team Vitality,KOI,5,13,5,6,"Raze,Killjoy,Viper,Skye,Astra","Raze,Viper,Omen,Yoru,Fade"
Bind,Karmine Corp,Team Heretics,9,13,8,9,"Raze,Viper,Omen,Skye,Gekko","Sova,Viper,Omen,Skye,Yoru"
Lotus,Karmine Corp,Team Heretics,13,5,10,3,"Raze,Cypher,Viper,Omen,Fade","Killjoy,Viper,Omen,Neon,Gekko"
Icebox,Karmine Corp,Team Heretics,12,14,6,7,"Killjoy,Viper,Sage,Jett,Gekko","Sova,Killjoy,Viper,Reyna,Jett"
Sunset,BBL Esports,GIANTX,11,13,5,6,"Raze,Cypher,Omen,KAY/O,Gekko","Breach,Raze,Cypher,Omen,Gekko"
Bind,BBL Esports,GIANTX,6,13,1,7,"Breach,Raze,Viper,Brimstone,Skye","Raze,Viper,Omen,Skye,Yoru"
Split,KRÜ Esports,100 Thieves,13,8,6,2,"Raze,Cypher,Viper,Omen,Skye","Raze,Viper,Astra,Fade,Gekko"
Breeze,KRÜ Esports,100 Thieves,11,13,4,5,"Cypher,Sova,Viper,Jett,KAY/O","Cypher,Sova,Viper,Jett,KAY/O"
Sunset,KRÜ Esports,100 Thieves,13,7,7,2,"Breach,Raze,Cypher,Omen,Gekko","Raze,Cypher,Sova,Omen,Gekko"
Split,Gen.G Esports,Rex Regum Qeon,10,13,5,6,"Raze,Viper,Omen,Jett,Skye","Raze,Cypher,Viper,Omen,Skye"
Ascent,Gen.G Esports,Rex Regum Qeon,11,13,5,6,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Breeze,Gen.G Esports,Rex Regum Qeon,13,3,2,1,"Sova,Viper,Jett,Yoru,Astra","Cypher,Sova,Viper,Jett,Yoru"
Breeze,Bleed Esports,DRX,4,13,2,10,"Cypher,Sova,Viper,Jett,Yoru","Cypher,Sova,Viper,Jett,Astra"
Bind,Bleed Esports,DRX,9,13,5,6,"Raze,Viper,Brimstone,Skye,Gekko","Raze,Cypher,Viper,Brimstone,KAY/O"
Sunset,NRG Esports,Evil Geniuses,11,13,6,7,"Raze,Cypher,Omen,KAY/O,Gekko","Breach,Raze,Cypher,Omen,Fade"
Lotus,NRG Esports,Evil Geniuses,16,14,7,6,"Breach,Raze,Cypher,Brimstone,Gekko","Raze,Cypher,Viper,Omen,Fade"
Ascent,NRG Esports,Evil Geniuses,6,13,2,3,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Bind,Cloud9,FURIA,13,8,5,4,"Raze,Cypher,Viper,Brimstone,Skye","Raze,Cypher,Viper,Brimstone,Skye"
Lotus,Cloud9,FURIA,13,3,4,3,"Raze,Killjoy,Viper,Omen,Gekko","Raze,Killjoy,Viper,Omen,Fade"
Ascent,Cloud9,FURIA,2,13,2,12,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Breeze,Team Secret,TALON,10,13,7,8,"Cypher,Sova,Viper,Jett,KAY/O","Cypher,Sova,Viper,Jett,Yoru"
Lotus,Team Secret,TALON,11,13,5,6,"Raze,Killjoy,Viper,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
Sunset,Team Secret,TALON,13,11,3,2,"Breach,Raze,Cypher,Sova,Omen","Breach,Raze,Cypher,Omen,Fade"
Sunset,T1,ZETA DIVISION,13,10,6,4,"Raze,Cypher,Omen,KAY/O,Gekko","Sova,Viper,Phoenix,Omen,Chamber"
Lotus,T1,ZETA DIVISION,13,9,8,5,"Raze,Viper,Omen,Chamber,Fade","Viper,Omen,Chamber,Neon,Gekko"
Bind,T1,ZETA DIVISION,11,13,6,7,"Raze,Viper,Skye,Harbor,Gekko","Raze,Viper,Brimstone,Skye,Gekko"
Icebox,Sentinels,LOUD,8,13,3,7,"Killjoy,Viper,Jett,KAY/O,Gekko","Sova,Killjoy,Viper,Jett,Harbor"
Lotus,Sentinels,LOUD,7,13,5,10,"Raze,Killjoy,Viper,Omen,Fade","Raze,Viper,Omen,Fade,Deadlock"
Bind,G2 Esports,MIBR,13,3,11,2,"Raze,Viper,Brimstone,Skye,Gekko","Raze,Viper,Brimstone,Skye,Gekko"
Icebox,G2 Esports,MIBR,13,9,6,5,"Sova,Killjoy,Viper,Harbor,Gekko","Killjoy,Viper,Sage,KAY/O,Gekko"
Ascent,Global Esports,DetonatioN FocusMe,13,11,7,6,"Sova,Killjoy,Omen,Jett,KAY/O","Raze,Cypher,Viper,Omen,KAY/O"
Lotus,Global Esports,DetonatioN FocusMe,13,5,11,4,"Raze,Killjoy,Viper,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
Split,Global Esports,DetonatioN FocusMe,10,13,6,7,"Raze,Cypher,Viper,Omen,Skye","Raze,Cypher,Viper,Omen,Skye"
Bind,Bleed Esports,Paper Rex,6,13,5,6,"Raze,Viper,Brimstone,Skye,Gekko","Raze,Brimstone,Skye,Harbor,Gekko"
Ascent,Bleed Esports,Paper Rex,5,13,3,4,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Sage,Omen,Jett,KAY/O"
Bind,Karmine Corp,KOI,15,13,5,4,"Raze,Viper,Omen,Skye,Gekko","Raze,Viper,Brimstone,KAY/O,Gekko"
Icebox,Karmine Corp,KOI,7,13,4,9,"Killjoy,Viper,Sage,Jett,Gekko","Killjoy,Viper,Jett,KAY/O,Gekko"
Sunset,Karmine Corp,KOI,13,7,8,3,"Raze,Cypher,Omen,KAY/O,Gekko","Cypher,Omen,KAY/O,Neon,Gekko"
Sunset,Team Vitality,GIANTX,13,6,7,1,"Raze,Viper,Omen,KAY/O,Gekko","Breach,Raze,Cypher,Omen,Gekko"
Breeze,Team Vitality,GIANTX,13,7,9,4,"Cypher,Sova,Viper,Yoru,Astra","Cypher,Sova,Viper,Jett,Yoru"
Lotus,Team Vitality,GIANTX,14,16,8,9,"Killjoy,Viper,Omen,Neon,Gekko","Raze,Killjoy,Viper,Omen,Fade"
Split,BBL Esports,Natus Vincere,13,9,6,3,"Breach,Raze,Viper,Omen,Skye","Breach,Raze,Viper,Omen,Fade"
Sunset,BBL Esports,Natus Vincere,13,8,5,4,"Raze,Cypher,Omen,KAY/O,Gekko","Sova,Killjoy,Omen,KAY/O,Neon"
Ascent,BBL Esports,Natus Vincere,8,13,3,7,"Sova,Killjoy,Omen,Jett,KAY/O","Cypher,Sova,Omen,Jett,KAY/O"
Lotus,FNATIC,FUT Esports,13,15,7,8,"Raze,Killjoy,Viper,Omen,Fade","Cypher,Viper,Sage,Omen,Jett"
Split,FNATIC,FUT Esports,7,13,5,6,"Breach,Raze,Cypher,Omen,Yoru","Raze,Viper,Omen,Skye,Chamber"
Ascent,KRÜ Esports,LOUD,13,8,6,5,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Viper,Omen,Jett,KAY/O"
Split,KRÜ Esports,LOUD,13,8,8,7,"Raze,Cypher,Viper,Omen,Skye","Breach,Raze,Viper,Omen,Skye"
Lotus,G2 Esports,Leviatán,9,13,4,7,"Raze,Killjoy,Viper,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
