Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Lotus,Gentle Mates,BBL Esports,12,14,7,8,"Breach,Viper,Omen,Yoru,Tejo","Breach,Cypher,Omen,Jett,Tejo"
Split,Team Liquid,KOI,13,5,8,1,"Raze,Viper,Yoru,Astra,Fade","Breach,Viper,Omen,Yoru,Tejo"
Lotus,Team Liquid,KOI,13,9,6,5,"Cypher,Omen,Deadlock,Tejo,Waylay","Raze,Killjoy,Viper,Omen,Fade"
Lotus,Team Vitality,Apeks,13,10,10,9,"Breach,Viper,Omen,Neon,Tejo","Breach,Viper,Omen,Yoru,Tejo"
Ascent,Team Vitality,Apeks,13,5,2,1,"Cypher,Omen,Yoru,KAY/O,Tejo","Cypher,Sova,Omen,Yoru,Deadlock"
Pearl,DetonatioN FocusMe,Paper Rex,13,15,5,6,"Sova,Yoru,Astra,Chamber,Vyse","Phoenix,Jett,Astra,Fade,Vyse"
Lotus,DetonatioN FocusMe,Paper Rex,7,13,2,3,"Breach,Viper,Omen,Neon,Tejo","Raze,Omen,Yoru,Fade,Vyse"
Ascent,DetonatioN FocusMe,Paper Rex,13,11,4,3,"Jett,Astra,KAY/O,Fade,Tejo","Omen,Jett,KAY/O,Fade,Vyse"
Split,TALON,ZETA DIVISION,10,13,3,5,"Cypher,Omen,Jett,Deadlock,Tejo","Breach,Viper,Omen,Yoru,Tejo"
Lotus,TALON,ZETA DIVISION,4,13,3,4,"Breach,Cypher,Omen,Tejo,Waylay","Sova,Omen,Neon,Iso,Vyse"
Icebox,NRG Esports,MIBR,5,13,3,4,"Sova,Killjoy,Viper,Jett,Harbor","Sova,Killjoy,Viper,Jett,Harbor"
Haven,NRG Esports,MIBR,6,13,0,6,"Cypher,Sova,Omen,Jett,Yoru","Breach,Cypher,Omen,Jett,Tejo"
Pearl,KRÜ Esports,Evil Geniuses,7,13,5,10,"Sova,Yoru,Astra,Chamber,Vyse","Jett,Yoru,Astra,Vyse,Tejo"
Lotus,KRÜ Esports,Evil Geniuses,4,13,2,10,"Breach,Omen,Yoru,Vyse,Tejo","Raze,Viper,Fade,Clove,Tejo"
Pearl,Gen.G Esports,Global Esports,13,7,5,4,"Killjoy,Astra,KAY/O,Neon,Tejo","Sova,Killjoy,Jett,Astra,Vyse"
Haven,Gen.G Esports,Global Esports,13,5,5,4,"Killjoy,Viper,Omen,Neon,Tejo","Cypher,Sova,Omen,Jett,Iso"
Lotus,T1,Rex Regum Qeon,5,13,2,9,"Raze,Viper,Omen,Fade,Iso","Breach,Viper,Omen,Yoru,Tejo"
Icebox,T1,Rex Regum Qeon,10,13,6,7,"Sova,Viper,Reyna,KAY/O,Chamber","Killjoy,Viper,Jett,KAY/O,Tejo"
