Event Name,Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 1 Attacking Losses,Team 1 Defending Wins,Team 1 Defending Losses,Team 2 Attacking Wins,Team 2 Attacking Losses,Team 2 Defending Wins,Team 2 Defending Losses,Date,Team 1 Agents,Team 2 Agents
Valorant Champions 2024 - Playoffs,Abyss,EDward Gaming,Team Heretics,13,9,8,4,5,5,5,5,4,8,2024-08-25T00:00:00.000Z,"Sova,Omen,Jett,Astra,KAY/O","Cypher,Sova,Jett,Astra,Gekko"
Valorant Champions 2024 - Playoffs,Bind,EDward Gaming,Team Heretics,11,13,6,6,5,7,7,5,6,6,2024-08-25T00:00:00.000Z,"Raze,Viper,Brimstone,Fade,Gekko","Raze,Viper,Brimstone,Fade,Gekko"
Valorant Champions 2024 - Playoffs,Lotus,EDward Gaming,Team Heretics,13,9,7,3,6,6,6,6,3,7,2024-08-25T00:00:00.000Z,"Breach,Omen,Neon,Fade,Clove","Raze,Killjoy,Viper,Omen,Fade"
Valorant Champions 2024 - Playoffs,Sunset,EDward Gaming,Team Heretics,13,4,11,1,2,3,3,2,1,11,2024-08-25T00:00:00.000Z,"Cypher,Sova,Omen,KAY/O,Neon","Raze,Cypher,Sova,Omen,KAY/O"
Valorant Champions 2024 - Playoffs,Haven,EDward Gaming,Team Heretics,6,13,3,9,3,4,4,3,9,3,2024-08-25T00:00:00.000Z,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Valorant Champions 2024 - Playoffs,Lotus,Leviatán,Team Heretics,3,13,2,2,1,11,11,1,2,2,2024-08-24T00:00:00.000Z,"Breach,Raze,Cypher,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
Valorant Champions 2024 - Playoffs,Abyss,Leviatán,Team Heretics,13,9,5,7,8,2,2,8,7,5,2024-08-24T00:00:00.000Z,"Cypher,Sova,Omen,Jett,Harbor","Cypher,Sova,Jett,Astra,Gekko"
Valorant Champions 2024 - Playoffs,Sunset,Leviatán,Team Heretics,13,15,9,5,4,10,10,4,5,9,2024-08-24T00:00:00.000Z,"Breach,Cypher,Sova,Omen,Neon","Raze,Cypher,Sova,Omen,KAY/O"
Valorant Champions 2024 - Playoffs,Icebox,Leviatán,Team Heretics,7,13,5,7,2,6,6,2,7,5,2024-08-24T00:00:00.000Z,"Sova,Killjoy,Viper,Jett,Harbor","Sova,Killjoy,Viper,Neon,Gekko"
Valorant Champions 2024 - Playoffs,Abyss,Team Heretics,Sentinels,13,7,5,3,8,4,4,8,3,5,2024-08-23T00:00:00.000Z,"Cypher,Sova,Jett,Astra,Gekko","Cypher,Sova,Omen,Jett,KAY/O"
Valorant Champions 2024 - Playoffs,Icebox,Team Heretics,Sentinels,13,9,5,7,8,2,2,8,7,5,2024-08-23T00:00:00.000Z,"Sova,Killjoy,Viper,Neon,Gekko","Sova,Killjoy,Viper,Jett,KAY/O"
Valorant Champions 2024 - Playoffs,Haven,Team Heretics,Sentinels,8,13,5,7,3,6,6,3,7,5,2024-08-23T00:00:00.000Z,"Raze,Killjoy,Sage,Omen,Gekko","Breach,Cypher,Sova,Omen,Neon"
Valorant Champions 2024 - Playoffs,Abyss,EDward Gaming,Leviatán,13,11,6,6,7,5,5,7,6,6,2024-08-23T00:00:00.000Z,"Sova,Omen,Jett,Astra,KAY/O","Cypher,Sova,Omen,Jett,Harbor"
Valorant Champions 2024 - Playoffs,Lotus,EDward Gaming,Leviatán,13,4,8,4,5,0,0,5,4,8,2024-08-23T00:00:00.000Z,"Breach,Omen,Neon,Fade,Clove","Breach,Raze,Cypher,Omen,Fade"
Valorant Champions 2024 - Playoffs,Icebox,EDward Gaming,Leviatán,14,16,3,12,11,4,4,11,12,3,2024-08-23T00:00:00.000Z,"Sova,Killjoy,Viper,Jett,KAY/O","Sova,Killjoy,Viper,Jett,Harbor"
Valorant Champions 2024 - Playoffs,Icebox,Team Heretics,DRX,13,10,8,3,5,7,7,5,3,8,2024-08-18T00:00:00.000Z,"Sova,Killjoy,Viper,Neon,Gekko","Sova,Killjoy,Viper,Jett,KAY/O"
Valorant Champions 2024 - Playoffs,Sunset,Team Heretics,DRX,13,5,6,0,7,5,5,7,0,6,2024-08-18T00:00:00.000Z,"Raze,Cypher,Sova,Omen,KAY/O","Breach,Cypher,Sova,Omen,Neon"
Valorant Champions 2024 - Playoffs,Abyss,Team Heretics,DRX,5,13,0,6,5,7,7,5,6,0,2024-08-18T00:00:00.000Z,"Cypher,Sova,Jett,Astra,Gekko","Cypher,Sova,Omen,Jett,KAY/O"
Valorant Champions 2024 - Playoffs,Lotus,Sentinels,FNATIC,13,6,8,4,5,2,2,5,4,8,2024-08-18T00:00:00.000Z,"Raze,Killjoy,Viper,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
Valorant Champions 2024 - Playoffs,Bind,Sentinels,FNATIC,9,13,7,5,2,8,8,2,5,7,2024-08-18T00:00:00.000Z,"Raze,Viper,Brimstone,Fade,Gekko","Raze,Viper,Astra,Fade,Gekko"
Valorant Champions 2024 - Playoffs,Sunset,Sentinels,FNATIC,13,11,9,3,4,8,8,4,3,9,2024-08-18T00:00:00.000Z,"Raze,Cypher,Omen,KAY/O,Gekko","Breach,Raze,Cypher,Sova,Astra"
Valorant Champions 2024 - Playoffs,Lotus,Leviatán,Team Heretics,13,10,9,2,4,8,8,4,2,9,2024-08-17T00:00:00.000Z,"Breach,Raze,Cypher,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
Valorant Champions 2024 - Playoffs,Icebox,Leviatán,Team Heretics,15,13,8,6,7,7,7,7,6,8,2024-08-17T00:00:00.000Z,"Sova,Killjoy,Viper,Jett,Harbor","Sova,Killjoy,Viper,Neon,Gekko"
Valorant Champions 2024 - Playoffs,Sunset,Sentinels,EDward Gaming,6,13,4,3,2,10,10,2,3,4,2024-08-17T00:00:00.000Z,"Breach,Cypher,Omen,Neon,Fade","Cypher,Sova,Omen,KAY/O,Neon"
Valorant Champions 2024 - Playoffs,Lotus,Sentinels,EDward Gaming,9,13,3,7,6,6,6,6,7,3,2024-08-17T00:00:00.000Z,"Raze,Killjoy,Viper,Omen,Fade","Breach,Omen,Neon,Fade,Clove"
Valorant Champions 2024 - Playoffs,Haven,Sentinels,EDward Gaming,13,9,8,4,5,5,5,5,4,8,2024-08-17T00:00:00.000Z,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Valorant Champions 2024 - Playoffs,Bind,G2 Esports,FNATIC,11,13,7,5,4,8,8,4,5,7,2024-08-16T00:00:00.000Z,"Raze,Viper,Brimstone,Skye,Gekko","Raze,Viper,Astra,Fade,Gekko"
Valorant Champions 2024 - Playoffs,Haven,G2 Esports,FNATIC,3,13,3,9,0,4,4,0,9,3,2024-08-16T00:00:00.000Z,"Sova,Killjoy,Viper,Omen,Yoru","Cypher,Sova,Omen,Yoru,Iso"
Valorant Champions 2024 - Playoffs,Abyss,DRX,Trace Esports,13,5,4,2,9,3,3,9,2,4,2024-08-16T00:00:00.000Z,"Cypher,Sova,Omen,Jett,KAY/O","Cypher,Sova,Jett,Astra,KAY/O"
Valorant Champions 2024 - Playoffs,Lotus,DRX,Trace Esports,13,3,10,2,3,1,1,3,2,10,2024-08-16T00:00:00.000Z,"Raze,Viper,Omen,Chamber,Fade","Raze,Killjoy,Viper,Omen,Fade"
Valorant Champions 2024 - Playoffs,Abyss,Team Heretics,FNATIC,14,12,10,3,4,9,9,4,3,10,2024-08-15T00:00:00.000Z,"Cypher,Sova,Jett,Astra,Gekko","Sova,Killjoy,Viper,Yoru,Astra"
Valorant Champions 2024 - Playoffs,Lotus,Team Heretics,FNATIC,13,3,4,0,9,3,3,9,0,4,2024-08-15T00:00:00.000Z,"Raze,Killjoy,Viper,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
Valorant Champions 2024 - Playoffs,Abyss,G2 Esports,Leviatán,5,13,4,8,1,5,5,1,8,4,2024-08-15T00:00:00.000Z,"Sova,Killjoy,Viper,Yoru,Astra","Cypher,Sova,Omen,Jett,Harbor"
Valorant Champions 2024 - Playoffs,Icebox,G2 Esports,Leviatán,14,16,10,5,4,11,11,4,5,10,2024-08-15T00:00:00.000Z,"Sova,Killjoy,Viper,Harbor,Gekko","Sova,Killjoy,Viper,Jett,Harbor"
Valorant Champions 2024 - Playoffs,Sunset,Trace Esports,EDward Gaming,10,13,2,10,8,3,3,8,10,2,2024-08-14T00:00:00.000Z,"Breach,Raze,Cypher,Sova,Omen","Cypher,Sova,Omen,KAY/O,Neon"
Valorant Champions 2024 - Playoffs,Bind,Trace Esports,EDward Gaming,7,13,5,3,2,10,10,2,3,5,2024-08-14T00:00:00.000Z,"Raze,Cypher,Brimstone,Skye,Deadlock","Raze,Viper,Brimstone,Fade,Gekko"
Valorant Champions 2024 - Playoffs,Haven,DRX,Sentinels,8,13,2,7,6,6,6,6,7,2,2024-08-14T00:00:00.000Z,"Breach,Cypher,Sova,Omen,Jett","Breach,Cypher,Sova,Omen,Neon"
Valorant Champions 2024 - Playoffs,Sunset,DRX,Sentinels,13,15,7,7,6,8,8,6,7,7,2024-08-14T00:00:00.000Z,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Omen,Neon,Fade"
Valorant Champions 2024 - Group Stage,Lotus,EDward Gaming,Paper Rex,13,4,9,3,4,1,1,4,3,9,2024-08-11T00:00:00.000Z,"Breach,Omen,Neon,Fade,Clove","Raze,Cypher,Omen,Jett,Skye"
Valorant Champions 2024 - Group Stage,Sunset,EDward Gaming,Paper Rex,13,8,6,6,7,2,2,7,6,6,2024-08-11T00:00:00.000Z,"Cypher,Sova,Omen,KAY/O,Neon","Breach,Raze,Sage,Omen,Gekko"
