Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Haven,Celeste Nova,NTC Timberwolves,13,10,5,4,"Breach,Cypher,Sova,Omen,Neon","Cypher,Sova,Omen,Jett,Tejo"
Lotus,Pigeons,Power Rangers,9,13,7,8,"Raze,Iso,Clove,Vyse,Tejo","Breach,Omen,Yoru,Vyse,Tejo"
Bind,Life's a Game,Revitalize,13,11,11,10,"Raze,Cypher,Brimstone,Skye,Yoru","Raze,Viper,Skye,Clove,Tejo"
Bind,The Neighborhood,160k PxS,13,1,2,1,"Cypher,Phoenix,Yoru,Clove,Tejo","Breach,Raze,Viper,Brimstone,Deadlock"
Haven,beastmode,Bubble Guppies,13,10,7,6,"Breach,Sova,Omen,Jett,Vyse","Cypher,Sova,Yoru,Iso,Clove"
Haven,Blue Otter,604,11,13,3,4,"Breach,Cypher,Omen,Jett,Tejo","Cypher,Sova,Phoenix,Yoru,Clove"
Haven,Gum Job,QRO Esports,9,13,3,6,"Cypher,Yoru,Iso,Clove,Vyse","Raze,Cypher,Sova,Omen,Jett"
Fracture,Overtake,SNV Esports,13,8,5,1,"Breach,Raze,Cypher,Brimstone,Tejo","Breach,Raze,Cypher,Brimstone,Tejo"
Pearl,Centic Gaming,Bing Bong Shooters,12,14,7,8,"Sova,Yoru,Astra,Iso,Vyse","Yoru,Astra,Fade,Vyse,Tejo"
Haven,Noodle Empire,LeJit Esports,13,6,5,4,"Breach,Cypher,Sova,Jett,Clove","Breach,Cypher,Sova,Omen,Jett"
Pearl,Prosperity Esports,Faded asf,11,13,2,3,"Yoru,Astra,Fade,Vyse,Tejo","Yoru,Astra,Fade,Clove,Vyse"
Lotus,Lux Nova,RedKnight Sons Black,12,14,7,8,"Breach,Viper,Omen,Neon,Tejo","Breach,Raze,Omen,Fade,Vyse"
Haven,Team Senseless,Fisher Goats,9,13,3,6,"Breach,Cypher,Sova,Omen,Jett","Cypher,Sova,Omen,Yoru,Iso"
Lotus,No Dynasty Valorant,UM-FLINT,13,6,6,5,"Breach,Raze,Reyna,Omen,Vyse","Breach,Omen,Neon,Fade,Clove"
Haven,Divine (NA),flower power,5,13,4,5,"Sova,Viper,Phoenix,Omen,Jett","Breach,Cypher,Sova,Omen,Jett"
Split,CYBR Purple,UTRGV,15,13,6,5,"Breach,Raze,Cypher,Omen,Tejo","Breach,Raze,Sage,Astra,Tejo"
Fracture,T2G Esports,Anomaly Gaming,13,2,10,0,"Breach,Cypher,Brimstone,Neon,Tejo","Breach,Brimstone,Jett,Astra,Tejo"
Pearl,Hakikimori,Alliance Guardians,13,4,11,3,"Yoru,Astra,Fade,Vyse,Tejo","Yoru,Astra,Fade,Vyse,Tejo"
Fracture,The Cutchers,Tootsie Gang,13,8,9,5,"Raze,Brimstone,Chamber,Clove,Tejo","Breach,Killjoy,Brimstone,Neon,Tejo"
Lotus,YFP X,Wadadaa,7,13,4,5,"Breach,Viper,Omen,Yoru,Tejo","Raze,Omen,Chamber,Deadlock,Tejo"
Haven,Blue Otter,160k PxS,13,1,11,0,"Breach,Cypher,Omen,Jett,Tejo","Breach,Reyna,Omen,Chamber,Tejo"
Split,Life's a Game,Revitalize,13,4,3,2,"Raze,Omen,Jett,Skye,Vyse","Raze,Viper,Omen,Skye,Yoru"
Fracture,Pigeons,Akron Esports Gold,13,5,5,4,"Neon,Harbor,Iso,Clove,Tejo","Breach,Omen,Jett,Clove,Tejo"
Haven,Landor,heartstoppers,13,1,2,1,"Cypher,Sova,Yoru,Iso,Clove","Breach,Cypher,Sova,Omen,Jett"
Lotus,beastmode,Bubble Guppies,5,13,2,9,"Breach,Omen,Yoru,Vyse,Tejo","Breach,Raze,Chamber,Clove,Vyse"
Pearl,Ace Esports (NA),Seulgi Fanclub,13,5,7,0,"Phoenix,Yoru,Astra,Fade,Vyse","Jett,Astra,Neon,Vyse,Tejo"
Bind,604,The Neighborhood,13,10,4,2,"Raze,Viper,Skye,Clove,Vyse","Raze,Cypher,Phoenix,Yoru,Clove"
